wl,ref
578.112,12.57
578.533,12.57
578.954,12.59
579.376,12.59
579.797,12.6
580.218,12.6
580.64,12.59
581.061,12.6
581.482,12.61
581.903,12.62
582.324,12.62
582.745,12.62
583.166,12.61
583.587,12.61
584.007,12.61
584.428,12.62
584.849,12.6
585.269,12.6
585.69,12.59
586.11,12.59
586.531,12.59
586.951,12.58
587.371,12.56
587.792,12.58
588.212,12.57
588.632,12.55
589.052,12.53
589.472,12.53
589.892,12.52
590.312,12.5
590.732,12.49
591.151,12.44
591.571,12.42
591.991,12.39
592.41,12.34
592.83,12.32
593.249,12.29
593.669,12.27
594.088,12.24
594.507,12.19
594.927,12.15
595.346,12.11
595.765,12.09
596.184,12.05
596.603,12.03
597.022,12.01
597.441,11.98
597.86,11.95
598.279,11.91
598.697,11.88
599.116,11.87
599.535,11.85
599.953,11.84
600.372,11.8
600.79,11.76
601.209,11.72
601.627,11.67
602.045,11.64
602.463,11.6
602.881,11.58
603.3,11.55
603.718,11.52
604.136,11.5
604.553,11.47
604.971,11.44
605.389,11.42
605.807,11.42
606.225,11.4
606.642,11.37
607.06,11.37
607.477,11.35
607.895,11.34
608.312,11.3
608.729,11.29
609.147,11.27
609.564,11.26
609.981,11.26
610.398,11.24
610.815,11.25
611.232,11.27
611.649,11.26
612.066,11.25
612.483,11.25
612.899,11.27
613.316,11.26
613.733,11.28
614.149,11.3
614.566,11.3
614.982,11.29
615.399,11.28
615.815,11.27
616.231,11.27
616.647,11.26
617.063,11.25
617.48,11.24
617.896,11.23
618.312,11.22
618.727,11.2
619.143,11.2
619.559,11.2
619.975,11.2
620.39,11.2
620.806,11.21
621.222,11.22
621.637,11.22
622.053,11.22
622.468,11.24
622.883,11.22
623.298,11.24
623.714,11.24
624.129,11.25
624.544,11.23
624.959,11.24
625.374,11.23
625.789,11.21
626.204,11.23
626.618,11.24
627.033,11.24
627.448,11.27
627.862,11.27
628.277,11.28
628.691,11.27
629.106,11.29
629.52,11.3
629.934,11.3
630.349,11.33
630.763,11.34
631.177,11.36
631.591,11.34
632.005,11.33
632.419,11.34
632.833,11.36
633.247,11.38
633.66,11.39
634.074,11.39
634.488,11.41
634.901,11.41
635.315,11.43
635.728,11.42
636.142,11.46
636.555,11.49
636.968,11.53
637.381,11.53
637.795,11.55
638.208,11.56
638.621,11.6
639.034,11.61
639.447,11.65
639.859,11.66
640.272,11.7
640.685,11.72
641.098,11.73
641.51,11.72
641.923,11.75
642.335,11.77
642.748,11.83
643.16,11.85
643.572,11.88
643.985,11.89
644.397,11.91
644.809,11.93
645.221,11.95
645.633,11.97
646.045,12.02
646.457,12.03
646.869,12.05
647.28,12.06
647.692,12.09
648.104,12.09
648.515,12.14
648.927,12.16
649.338,12.16
649.75,12.21
650.161,12.22
650.572,12.25
650.983,12.27
651.394,12.29
651.806,12.29
652.217,12.3
652.628,12.34
653.038,12.33
653.449,12.33
653.86,12.34
654.271,12.31
654.681,12.33
655.092,12.3
655.503,12.3
655.913,12.29
656.323,12.3
656.734,12.27
657.144,12.23
657.554,12.22
657.964,12.21
658.375,12.19
658.785,12.15
659.195,12.11
659.604,12.09
660.014,12.04
660.424,11.98
660.834,11.95
661.244,11.91
661.653,11.87
662.063,11.81
662.472,11.78
662.882,11.74
663.291,11.68
663.7,11.63
664.109,11.57
664.519,11.54
664.928,11.48
665.337,11.41
665.746,11.37
666.155,11.32
666.564,11.28
666.972,11.22
667.381,11.16
667.79,11.13
668.198,11.1
668.607,11.08
669.016,11.07
669.424,11.06
669.832,11.07
670.241,11.09
670.649,11.09
671.057,11.09
671.465,11.09
671.873,11.09
672.281,11.1
672.689,11.11
673.097,11.12
673.505,11.12
673.913,11.14
674.32,11.17
674.728,11.14
675.135,11.16
675.543,11.18
675.95,11.21
676.358,11.24
676.765,11.26
677.172,11.3
677.579,11.35
677.987,11.36
678.394,11.41
678.801,11.41
679.208,11.47
679.614,11.53
680.021,11.6
680.428,11.65
680.835,11.73
681.241,11.82
681.648,11.92
682.054,11.98
682.461,12.1
682.867,12.17
683.273,12.3
683.68,12.44
684.086,12.55
684.492,12.64
684.898,12.77
685.304,12.91
685.71,13.05
686.116,13.17
686.522,13.33
686.927,13.46
687.333,13.61
687.739,13.76
688.144,13.89
688.55,14.04
688.955,14.21
689.36,14.38
689.766,14.53
690.171,14.69
690.576,14.87
690.981,15.03
691.386,15.22
691.791,15.41
692.196,15.59
692.601,15.79
693.006,16.01
693.411,16.19
693.815,16.38
694.22,16.57
694.624,16.75
695.029,16.95
695.433,17.15
695.838,17.33
696.242,17.53
696.646,17.73
697.05,17.91
697.454,18.07
697.858,18.26
698.262,18.43
698.666,18.6
699.07,18.81
699.474,19
699.878,19.2
700.281,19.4
700.685,19.61
