wl,D01.1,D01.2,D01.3,D02.1,D02.2,D02.3,D02.4,D03.1,D03.2,D03.3,D04.1,D04.2,D04.3,D05.1,D05.2,D05.3,D06.1,D06.2,D06.3,D07.1,D07.2,D07.3,D08.1,D08.2,D08.3,D08.4,D09.1,D09.2,D09.3,D09.4,D10.1,D10.2,D10.3,D10.4,D11.1,D11.2,D11.3,D11.4,D11.5,D12.1,D12.2,D12.3,D12.4,D13.1,D13.2,D13.3,D13.4
647,32.41258335,85.32064165,28.23553334,23.82628334,25.59316667,35.34529167,44.10271667,64.72103335,83.43056665,30.759325,11.73815,7.779083335,20.64841667,23.13246667,20.49100834,85.46195,78.58616667,50.85399167,65.87284167,8.106358335,21.07625834,78.94026665,18.53241667,20.16114167,9.670408335,15.62275,16.23389167,21.12825834,30.35215834,63.872275,79.87314165,40.04848334,78.899525,69.47053334,67.7566,84.76323335,22.48486667,44.23403334,21.15616667,30.21450834,5.396258335,53.274475,80.35220835,72.25245835,19.911325,11.05231667,67.36574165
648,32.5591667,85.4620833,28.33666667,23.93416667,25.72833333,35.49458333,44.22583333,64.8316667,83.5483333,30.86625,11.8475,7.88416667,20.76083333,23.24333333,20.59041667,85.5675,78.66833333,50.95958333,65.97208333,8.19791667,21.15291667,79.0433333,18.64083333,20.26708333,9.73041667,15.7375,16.35458333,21.23291667,30.44791667,63.97375,79.9770833,40.14416667,79.02625,69.59666667,67.88,84.8916667,22.59333333,44.37166667,21.26833333,30.32541667,5.50291667,53.40375,80.5104167,72.3729167,20.00625,11.11583333,67.4670833
649,32.74583335,85.61791665,28.45104167,24.07333334,25.90166667,35.66166667,44.37625,64.944375,83.68375,30.99666667,11.98416667,8.006458335,20.88604167,23.37416667,20.70541667,85.686875,78.75854167,51.08958333,66.09395833,8.3175,21.2425,79.15625,18.78125,20.39708333,9.80125,15.88020834,16.494375,21.361875,30.5675,64.09125,80.08229165,40.253125,79.17833335,69.72875,68.000625,85.01270835,22.728125,44.53083334,21.40604167,30.445,5.63041667,53.55875,80.67208335,72.525,20.12395834,11.19166667,67.5745833
650,32.9325,85.77375,28.56541667,24.2125,26.075,35.82875,44.52666667,65.0570833,83.8191667,31.12708333,12.12083333,8.12875,21.01125,23.505,20.82041667,85.80625,78.84875,51.21958333,66.21583333,8.43708333,21.33208333,79.2691667,18.92166667,20.52708333,9.87208333,16.02291667,16.63416667,21.49083333,30.68708333,64.20875,80.1875,40.36208333,79.3304167,69.86083333,68.12125,85.13375,22.86291667,44.69,21.54375,30.56458333,5.75791667,53.71375,80.83375,72.6770833,20.24166667,11.2675,67.6820833
651,33.128125,85.9075,28.67125,24.35729167,26.256875,35.98625,44.67229167,65.15416665,83.92458335,31.26708333,12.26416667,8.22375,21.13145834,23.64375,20.94354167,85.92541665,78.92666667,51.33791667,66.34375,8.56125,21.415625,79.3735417,19.06083334,20.65875,9.95458333,16.17104167,16.77291667,21.62625,30.81770833,64.32020834,80.27979165,40.45520833,79.4591667,69.95770833,68.20833334,85.22020835,22.995625,44.84416667,21.67708334,30.67333333,5.88354167,53.849375,80.968125,72.8114583,20.375625,11.35666667,67.7952083
652,33.32375,86.04125,28.77708333,24.50208333,26.43875,36.14375,44.81791667,65.25125,84.03,31.40708333,12.4075,8.31875,21.25166667,23.7825,21.06666667,86.0445833,79.00458333,51.45625,66.47166667,8.68541667,21.49916667,79.4779167,19.2,20.79041667,10.03708333,16.31916667,16.91166667,21.76166667,30.94833333,64.43166667,80.3720833,40.54833333,79.5879167,70.05458333,68.29541667,85.3066667,23.12833333,44.99833333,21.81041667,30.78208333,6.00916667,53.985,81.1025,72.9458333,20.50958333,11.44583333,67.9083333
653,33.53395835,86.15625,28.88770833,24.65270833,26.625,36.30916667,44.956875,65.35729165,84.10416665,31.54479167,12.56270834,8.419375,21.411875,23.9425,21.20895834,86.15104165,79.10333333,51.57583334,66.60875,8.82229167,21.57354167,79.58958335,19.345,20.94354167,10.13958333,16.47666667,17.06604167,21.91333334,31.09,64.54208334,80.47041665,40.6675,79.69875,70.141875,68.38125,85.3891667,23.26875,45.14895833,21.9675,30.90479167,6.14041667,54.12375,81.21833335,73.075625,20.653125,11.54145833,68.03
654,33.7441667,86.27125,28.99833333,24.80333333,26.81125,36.47458333,45.09583333,65.4633333,84.1783333,31.6825,12.71791667,8.52,21.57208333,24.1025,21.35125,86.2575,79.20208333,51.69541667,66.74583333,8.95916667,21.64791667,79.70125,19.49,21.09666667,10.24208333,16.63416667,17.22041667,22.065,31.23166667,64.6525,80.56875,40.78666667,79.8095833,70.22916667,68.46708333,85.4716667,23.40916667,45.29958333,22.12458333,31.0275,6.27166667,54.2625,81.3341667,73.2054167,20.79666667,11.63708333,68.1516667
655,33.9485417,86.37083335,29.115,24.96770833,27.00416667,36.64979167,45.23916667,65.5645833,84.2408333,31.823125,12.88208334,8.655833335,21.75916667,24.26958334,21.49520834,86.34875,79.31041667,51.83479167,66.87729167,9.097708335,21.733125,79.816875,19.63520834,21.26395834,10.35208333,16.784375,17.38020834,22.22,31.37854167,64.76604167,80.67145835,40.93104167,79.919375,70.32,68.55375,85.54125,23.560625,45.44854167,22.30083333,31.163125,6.42354167,54.40104167,81.4285417,73.3416667,20.95375,11.73270833,68.25895835
656,34.1529167,86.4704167,29.23166667,25.13208333,27.19708333,36.825,45.3825,65.6658333,84.3033333,31.96375,13.04625,8.79166667,21.94625,24.43666667,21.63916667,86.44,79.41875,51.97416667,67.00875,9.23625,21.81833333,79.9325,19.78041667,21.43125,10.46208333,16.93458333,17.54,22.375,31.52541667,64.87958333,80.7741667,41.07541667,80.0291667,70.41083333,68.64041667,85.6108333,23.71208333,45.5975,22.47708333,31.29875,6.57541667,54.53958333,81.5229167,73.4779167,21.11083333,11.82833333,68.36625
